'COLORSTYLE','SKU','PO_HDR','COUNTRY_OF_ORIGIN','MATERIAL','PRODUCT_SHORT_NAME','PRODUCT_LONG_DESCRIPTION','COLOR_GROUP','COLOR_DESCRIPTION','BULLET_1','BULLET_2','BULLET_3','BULLET_4','BULLET_5','BULLET_6','BULLET_7','BULLET_8','BULLET_9','WEIGHT','KEYWORD_OCCASION'
318706901,'891950769259',113782,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696548',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'101000007099',116297,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'101000007098',116297,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696586',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'101000007097',116297,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950769327',113782,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696562',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'101000007096',116297,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696548',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696579',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696579',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950769280',113782,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696586',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950696593',113616,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'101000007099',116297,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
318706901,'891950769280',113782,'IT','Leather / Rubber','brown leather oxfords','Timeless Gucci style paired with fine Italian craftsmanship make these oxfords an obvious choice.','Brown','Brown','Smooth leather upper','Rounded toe','Lace-up vamp','Leather interior','Leather sole with rubber insert','1'''' heel','','','',,''
